"Prey","General_FP","General_FP_Percent"
"Insect Remains",0.282651328588146,28.2651328586716
"Filamentous Algae",0.237196149061696,23.7196149060496
"Formicidae",0.150409582683392,15.0409582682631
"Ephemeroptera",0.0572052488687408,5.72052488684515
"Organic matter",0.0501094397115958,5.01094397113424
"Baetidae",0.0422645971620792,4.22645971618654
"Chironomidae (L)",0.0422493988107004,4.22493988104867
"Colembola",0.0334909045721513,3.34909045719819
"Shrimp (L)",0.0172849619551667,1.72849619550792
"Cladocera",0.0148918185227125,1.48918185226372
"Plant Matter",0.0105542323093333,1.055423230928
"Chironomidae(pupa)",0.00874559434402083,0.87455943439766
"Leptophlebiidae",0.005948459941875,0.594845994184491
"Ostracoda",0.0056429841615275,0.564298416149896
"Elmidae",0.00476785658910958,0.476785658908547
"Leptohyphes",0.003974639501625,0.39746395016049
"Vespidae",0.003849148992875,0.384914899285553
"Hydracarina",0.00375968476862917,0.375968476861015
"Chaoboridae",0.00344706406639583,0.34470640663784
"Invertebrate eggs",0.00344204689864292,0.344204689862551
"Hemiptera",0.0031329783612,0.313297836118415
"Hymenoptera",0.00182315211784167,0.182315211783245
"Coleoptera",0.00174143604190667,0.174143604189786
"Sediments",0.00134264235738458,0.134264235737779
"Pleidae",0.00103142243858333,0.103142243857812
"Pyralidae",0.00097729214225,0.0977292142245057
"Hydropsychidae",0.00093107110549125,0.0931071105486541
"Noteridae",0.000734064718204167,0.0734064718200454
"Leptoceridae",0.000612651094019167,0.0612651094016068
"Caenidae",0.000532912706833333,0.0532912706830638
"Odonata (N)",0.000509813914625,0.0509813914622421
"Psychodidae",0.000420516553620833,0.0420516553618706
"Dytiscidae",0.000411293365375417,0.0411293365373336
"Psocoptera",0.00036806434678875,0.0368064346786888
"Philopotamidae",0.000340141099745833,0.0340141099744113
"Amphipoda",0.000336064945925,0.03360649459233
"Aranae",0.0003240996037375,0.0324099603735861
"Pseudoscorpionida",0.0003040043478875,0.0304004347885962
"Scales",0.000266717593095833,0.0266717593094484
"Diptera (pupa)",0.000237143614983333,0.0237143614982134
"Copepoda",0.000212974990825,0.0212974990823923
"Gerrridae",0.000212151451583333,0.021215145158226
"Orthoptera",0.000191384353033333,0.0191384353032365
"Corixidae",0.000133847307,0.0133847306999323
"Empididae",0.000121939323,0.0121939322999383
"Thysanura",0.000118251258495833,0.0118251258495235
"Ceratopogonidae",0.000112327688008333,0.0112327688007765
"Seeds and Fruits",0.000101801129875,0.0101801129874485
"Diptera (adult)",9.06545472470833e-05,0.00906545472466248
"Staphynilidae",7.50023186220833e-05,0.0075002318621704
"Calamoceratidae...19",5.7531608425e-05,0.0057531608424709
"Trichoptera (L)",5.70853557166667e-05,0.00570853557163779
"Tingidae",4.15771159541667e-05,0.00415771159539564
"Trichoptera",4.04836208958333e-05,0.00404836208956286
"Libellulidae",3.19823968875e-05,0.00319823968873382
"Acari",2.58369024833333e-05,0.00258369024832027
"Plecoptera",2.43878646e-05,0.00243878645998767
"Naucoridae",2.20102911e-05,0.00220102910998887
"Simullidae",1.91894381333333e-05,0.00191894381332363
"Calamoceratidae...9",1.58217834333333e-05,0.00158217834332533
"Vellidae",1.27929587541667e-05,0.0012792958754102
"Coleoptera (larva)",5.913520675e-06,0.000591352067497009
"Lampyridae",5.913520675e-06,0.000591352067497009
"Isoptera",3.3170400325e-06,0.000331704003248322
"Helicopsychidae",3.19823968875e-06,0.000319823968873382
