site,date,lat,lon,biome
Curralinho,2015-01-20,-9.72103,37.60483,Caatinga
Curralinho,2015-04-14,-9.72103,37.60483,Caatinga
Curralinho,2015-07-23,-9.72103,37.60483,Caatinga
Curralinho,2015-10-20,-9.72103,37.60483,Caatinga
Ilha do ouro,2015-01-20,-9.89194,37.248,Caatinga
Ilha do ouro,2015-04-14,-9.89194,37.248,Caatinga
Ilha do ouro,2015-07-23,-9.89194,37.248,Caatinga
Ilha do ouro,2015-10-20,-9.89194,37.248,Caatinga
Niterói,2015-01-20,-9.76083,37.43322,Caatinga
Niterói,2015-04-14,-9.76083,37.43322,Caatinga
Niterói,2015-07-23,-9.76083,37.43322,Caatinga
Niterói,2015-10-20,-9.76083,37.43322,Caatinga
UHE Xingó,2015-01-19,-9.63033,37.75878,Caatinga
UHE Xingó,2015-07-22,-9.63033,37.75878,Caatinga
UHE Xingó,2015-10-19,-9.63033,37.75878,Caatinga
Amparo,2015-1-21,-10.12794,36.92431,Atlantic forest
Amparo,2015-04-15,-10.12794,36.92431,Atlantic forest
Amparo,2015-07-24,-10.12794,36.92431,Atlantic forest
Gararu,2015-04-15,-9.96469,37.08375,Atlantic forest
Gararu,2015-07-24,-9.96469,37.08375,Atlantic forest
Gararu,2015-10-21,-9.96469,37.08375,Atlantic forest
Propriá,2015-01-21,-10.20939,36.83181,Atlantic forest
Propriá,2015-04-15,-10.20939,36.83181,Atlantic forest
Propriá,2015-07-21,-10.20939,36.83181,Atlantic forest
